Refrence,part,amount,Price(£),link
r4,"100k ohms , 1/4 ohms",1,1.51,https://www.aliexpress.com/item/1005004002774546.html?spm=a2g0o.productlist.main.8.1e06Xo3LXo3LVs&aem_p4p_detail=202605260602483412340307320880002416561&algo_pvid=4abc8714-7bfb-43f9-8944-393e5d27977e&algo_exp_id=4abc8714-7bfb-43f9-8944-393e5d27977e-7&pdp_ext_f=%7B%22order%22%3A%222344%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%211.51%210.99%21%21%211.98%211.30%21%402103890917798005684983635e5424%2112000027706686718%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207325743&curPageLogUid=0lzMdeD4rbJN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004002774546%7C_p_origin_prod%3A&search_p4p_id=202605260602483412340307320880002416561_2
r5,"100k ohms , 1/4 ohms",1,1.51,https://www.aliexpress.com/item/1005004002774546.html?spm=a2g0o.productlist.main.8.1e06Xo3LXo3LVs&aem_p4p_detail=202605260602483412340307320880002416561&algo_pvid=4abc8714-7bfb-43f9-8944-393e5d27977e&algo_exp_id=4abc8714-7bfb-43f9-8944-393e5d27977e-7&pdp_ext_f=%7B%22order%22%3A%222344%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%211.51%210.99%21%21%211.98%211.30%21%402103890917798005684983635e5424%2112000027706686718%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207325743&curPageLogUid=0lzMdeD4rbJN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004002774546%7C_p_origin_prod%3A&search_p4p_id=202605260602483412340307320880002416561_2
r6,"1k ohms, 1/4 W",1,0.53,https://www.aliexpress.com/item/1005002489867848.html?spm=a2g0o.productlist.main.8.3730NS1vNS1vEQ&aem_p4p_detail=2026052606034611689602252586920002386703&algo_pvid=fe9a68f8-5693-4e1a-a819-78e8631a4d12&algo_exp_id=fe9a68f8-5693-4e1a-a819-78e8631a4d12-7&pdp_ext_f=%7B%22order%22%3A%223794%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%210.54%210.53%21%21%210.71%210.70%21%402103890117798006265646292e3043%2112000020846080146%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=lQjQRgqcIM68&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002489867848%7C_p_origin_prod%3A&search_p4p_id=2026052606034611689602252586920002386703_2
r7,"10 ohms , 1/4 W",1,1.75,https://www.aliexpress.com/item/1005004961926843.html?spm=a2g0o.productlist.main.8.60789ZMs9ZMsZl&aem_p4p_detail=20260526060432128777397006480002674930&algo_pvid=182911e3-984b-4f7a-83eb-b47a8a64dc46&algo_exp_id=182911e3-984b-4f7a-83eb-b47a8a64dc46-7&pdp_ext_f=%7B%22order%22%3A%221278%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%211.75%211.75%21%21%212.29%212.29%21%40210385db17798006727104970e4320%2112000031168020421%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=z9Hw2ppRmLO0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004961926843%7C_p_origin_prod%3A&search_p4p_id=20260526060432128777397006480002674930_2
capacitors,,,,
c1,"1nF , 50V , cermaic",1,0.24,https://www.aliexpress.com/item/1005003584800244.html?spm=a2g0o.productlist.main.1.6515CgSrCgSrF3&algo_pvid=1fe560ad-c605-4aee-baa6-2aaeff887c8b&algo_exp_id=1fe560ad-c605-4aee-baa6-2aaeff887c8b-0&pdp_ext_f=%7B%22order%22%3A%22989%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%210.35%210.24%21%21%213.14%212.20%21%40210390c217798007063492015e00a4%2112000026380090772%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=2qNeVgppn8vs&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003584800244%7C_p_origin_prod%3A
c2,"100uF,25v,electrolytic",1,1.1,https://www.aliexpress.com/item/1005011631970768.html?spm=a2g0o.productlist.main.3.92deQcLgQcLgCK&aem_p4p_detail=202605260605312587158016700250002746577&algo_pvid=f712bcbd-a458-43f0-b055-c01a13b00483&algo_exp_id=f712bcbd-a458-43f0-b055-c01a13b00483-3&pdp_ext_f=%7B%22order%22%3A%222529%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%212.10%210.99%21%21%2118.62%218.76%21%402103846917798007319088932ecdb5%2112000056427936795%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207325736&curPageLogUid=23NnXv1eUJMF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011631970768%7C_p_origin_prod%3A&search_p4p_id=202605260605312587158016700250002746577_1
c3,"1000uF,25v,electrolytic",1,2.1,https://www.aliexpress.com/item/1005011631970768.html?spm=a2g0o.productlist.main.8.116d9NgS9NgSQ4&aem_p4p_detail=202605260606029372327994138300002467466&algo_pvid=7efd3502-dcc0-4f09-a943-aacfcde4c04f&algo_exp_id=7efd3502-dcc0-4f09-a943-aacfcde4c04f-7&pdp_ext_f=%7B%22order%22%3A%222529%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%212.10%210.99%21%21%2118.62%218.76%21%402103856417798007624955242e54dd%2112000056427936795%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207325736&curPageLogUid=I1EHWj6nkeq4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011631970768%7C_p_origin_prod%3A&search_p4p_id=202605260606029372327994138300002467466_2
c4,"10uF,25v,electrolytic",1,2.1,https://www.aliexpress.com/item/1005011631970768.html?spm=a2g0o.productlist.main.4.50aazpvJzpvJfo&aem_p4p_detail=20260526060645236467278018400002638918&algo_pvid=af423a85-5125-48f6-8871-0b4a73527387&algo_exp_id=af423a85-5125-48f6-8871-0b4a73527387-3&pdp_ext_f=%7B%22order%22%3A%222529%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%212.10%210.99%21%21%2118.62%218.76%21%402103892f17798008054645472eafd5%2112000056427936795%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207325736&curPageLogUid=B362yGf7uz10&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011631970768%7C_p_origin_prod%3A&search_p4p_id=20260526060645236467278018400002638918_1
c5,"10nfF,50v,cermaic",1,0.99,https://www.aliexpress.com/item/1005012084843800.html?spm=a2g0o.productlist.main.4.66e7aiTDaiTDrL&aem_p4p_detail=20260526060707641766563480400002639139&algo_pvid=4f7b60fa-26a5-47e9-884b-4fcd8bfab3b4&algo_exp_id=4f7b60fa-26a5-47e9-884b-4fcd8bfab3b4-3&pdp_ext_f=%7B%22order%22%3A%2217%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%212.48%210.99%21%21%213.25%211.30%21%4021038e6617798008269902012ef3d4%2112000057475331357%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207325736&curPageLogUid=AVuM1Zd38Yjw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012084843800%7C_p_origin_prod%3A&search_p4p_id=20260526060707641766563480400002639139_1
c6,"10uF,25v,electrolytic",1,2.1,https://www.aliexpress.com/item/1005011631970768.html?spm=a2g0o.productlist.main.4.50aawG9RwG9RdN&aem_p4p_detail=202605260607342319969320468800002581290&algo_pvid=c005e26a-8b5d-4ec3-a46e-a26ed5a14679&algo_exp_id=c005e26a-8b5d-4ec3-a46e-a26ed5a14679-3&pdp_ext_f=%7B%22order%22%3A%222529%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%212.10%210.99%21%21%2118.62%218.76%21%402103864c17798008542705429e445c%2112000056427936795%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207325736&curPageLogUid=42A4ASfGsZrZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011631970768%7C_p_origin_prod%3A&search_p4p_id=202605260607342319969320468800002581290_1
c7,"0.1uf, 50V,cermaic",1,0.24,https://www.aliexpress.com/item/1005003584800244.html?spm=a2g0o.productlist.main.1.2aafcFh5cFh5dP&algo_pvid=311e7348-e2c0-4318-9f90-2bba81af7f2f&algo_exp_id=311e7348-e2c0-4318-9f90-2bba81af7f2f-0&pdp_ext_f=%7B%22order%22%3A%22989%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%210.35%210.24%21%21%213.14%212.20%21%402103856417798008840735340e54e1%2112000026380090772%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=W8YOUwwpvSf8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003584800244%7C_p_origin_prod%3A
,heat set inserts ,8,0.99,https://www.aliexpress.com/item/1005008666672949.html?spm=a2g0o.productlist.main.3.584958c7xPHA5p&algo_pvid=031bac49-1631-4c4d-bdf3-a5507d9b1a9a&algo_exp_id=031bac49-1631-4c4d-bdf3-a5507d9b1a9a-2&pdp_ext_f=%7B%22order%22%3A%2216266%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%211.97%210.99%21%21%2117.51%218.81%21%40211b80d117798158535664706ee2da%2112000046157335344%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207325736&curPageLogUid=pIarwUUpbAN6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008666672949%7C_p_origin_prod%3A
,14 awg enammell coated copper wire,1,2.37,https://www.aliexpress.com/item/1005005549459084.html?spm=a2g0o.productlist.main.26.59adAWYeAWYeo8&aem_p4p_detail=202605260609401499936200915950002801058&algo_pvid=6cacd54f-0ec3-4046-b79a-58c13acdcc4c&algo_exp_id=6cacd54f-0ec3-4046-b79a-58c13acdcc4c-23&pdp_ext_f=%7B%22order%22%3A%2213809%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%212.37%210.99%21%21%2121.04%218.78%21%402103835c17798009801895954e2504%2112000033498140715%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207325736&curPageLogUid=UNJWLOrvq06d&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005549459084%7C_p_origin_prod%3A&search_p4p_id=202605260609401499936200915950002801058_7
,m2.5*10 screws,12,2.11,https://www.aliexpress.com/item/1005009268765576.html?spm=a2g0o.productlist.main.11.2f261e96UN4jHR&algo_pvid=b93671bc-5054-428a-ab78-b1dc68c017c1&algo_exp_id=b93671bc-5054-428a-ab78-b1dc68c017c1-10&pdp_ext_f=%7B%22order%22%3A%2256%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%212.11%212.11%21%21%2118.70%2118.70%21%40211b6c1717798242288914963ef08b%2112000048551018034%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=1NU85C3fvSdK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009268765576%7C_p_origin_prod%3A
TOTAL,,,45,
